Lat,Lon,Mcc,Mnc,Lac,Cellid,Range,Nbsamples,Createdat,Updatedat,Needscomputation,Country,Operator,,
24.62625711,46.66708182,420,1,3591,7161277,6000,"<ahref=""/mesure/map/1163928"">4</a>",TueDec2705:20:54+01002011,SunJan2210:14:41+01002012,FALSE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/1163928"">Show</a>","<ahref=""/cell/map/1163928"">Map</a>"
24.62629234,46.667055,420,1,3591,7161276,0,"<ahref=""/mesure/map/1163925"">7</a>",TueDec2705:19:53+01002011,WedDec2805:20:33+01002011,TRUE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/1163925"">Show</a>","<ahref=""/cell/map/1163925"">Map</a>"
25.409466,49.546319,420,3,3723,23163,6000,"<ahref=""/mesure/map/1144087"">1</a>",MonDec1914:10:54+01002011,TueJan0300:05:12+01002012,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1144087"">Show</a>","<ahref=""/cell/map/1144087"">Map</a>"
25.410884,49.54531225,420,3,3723,31733,6000,"<ahref=""/mesure/map/1142711"">4</a>",SunDec1821:12:59+01002011,TueJan2405:40:14+01002012,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1142711"">Show</a>","<ahref=""/cell/map/1142711"">Map</a>"
24.69584274,46.85923386,420,1,,49911,6000,"<ahref=""/mesure/map/1124000"">1</a>",SunDec1114:17:40+01002011,WedMar1415:09:48+01002012,FALSE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/1124000"">Show</a>","<ahref=""/cell/map/1124000"">Map</a>"
24.755169,46.572375,420,3,1081,10431,0,"<ahref=""/mesure/map/1122663"">1</a>",SatDec1021:44:50+01002011,SatDec1021:44:50+01002011,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1122663"">Show</a>","<ahref=""/cell/map/1122663"">Map</a>"
24.755169,46.572375,420,3,1081,10431,6000,"<ahref=""/mesure/map/1122662"">1</a>",SatDec1021:44:50+01002011,MonDec1918:17:37+01002011,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1122662"">Show</a>","<ahref=""/cell/map/1122662"">Map</a>"
26.57149069,49.98892988,420,1,2153,26550054,6000,"<ahref=""/mesure/map/1112911"">1</a>",WedDec0709:40:11+01002011,ThuDec0813:19:47+01002011,FALSE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/1112911"">Show</a>","<ahref=""/cell/map/1112911"">Map</a>"
21.740096,39.126949,420,3,2170,7099914,0,"<ahref=""/mesure/map/1108325"">1</a>",MonDec0521:29:14+01002011,MonDec0521:29:17+01002011,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1108325"">Show</a>","<ahref=""/cell/map/1108325"">Map</a>"
21.597575,39.136945,420,3,2135,6676800,6000,"<ahref=""/mesure/map/1107531"">1</a>",MonDec0518:49:55+01002011,WedFeb0117:09:59+01002012,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1107531"">Show</a>","<ahref=""/cell/map/1107531"">Map</a>"
21.758336,39.120937,420,3,2170,7100694,0,"<ahref=""/mesure/map/1099767"">1</a>",FriDec0222:28:12+01002011,FriDec0222:28:13+01002011,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1099767"">Show</a>","<ahref=""/cell/map/1099767"">Map</a>"
24.635041,46.721332,420,3,1325,918759,6000,"<ahref=""/mesure/map/1093165"">1</a>",WedNov3023:36:40+01002011,WedNov3023:36:54+01002011,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1093165"">Show</a>","<ahref=""/cell/map/1093165"">Map</a>"
24.63505033,46.72125967,420,3,1325,918762,6000,"<ahref=""/mesure/map/1093147"">3</a>",WedNov3023:31:38+01002011,WedNov3023:33:57+01002011,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1093147"">Show</a>","<ahref=""/cell/map/1093147"">Map</a>"
18.2135055,42.492617,420,4,61001,39419179,6000,"<ahref=""/mesure/map/1083304"">2</a>",SunNov2719:36:50+01002011,SunNov2719:38:37+01002011,FALSE,SaudiArabia,none,"<ahref=""/cell/show/1083304"">Show</a>","<ahref=""/cell/map/1083304"">Map</a>"
21.60081671,39.16482332,420,3,2135,6641262,6000,"<ahref=""/mesure/map/1079157"">28</a>",SatNov2616:12:50+01002011,SunJan1515:42:43+01002012,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1079157"">Show</a>","<ahref=""/cell/map/1079157"">Map</a>"
21.580739,39.165466,420,3,2135,6642460,6000,"<ahref=""/mesure/map/1079114"">1</a>",SatNov2616:01:28+01002011,SunMar2518:23:26+02002012,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1079114"">Show</a>","<ahref=""/cell/map/1079114"">Map</a>"
21.575466,39.167427,420,3,2135,6639220,0,"<ahref=""/mesure/map/1079111"">1</a>",SatNov2616:00:50+01002011,SatNov2616:00:50+01002011,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1079111"">Show</a>","<ahref=""/cell/map/1079111"">Map</a>"
21.571336,39.169134,420,3,2135,6676621,0,"<ahref=""/mesure/map/1079106"">1</a>",SatNov2615:59:58+01002011,SatNov2615:59:58+01002011,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1079106"">Show</a>","<ahref=""/cell/map/1079106"">Map</a>"
21.5685755,39.169654,420,3,2135,6640242,6000,"<ahref=""/mesure/map/1079094"">2</a>",SatNov2615:57:14+01002011,ThuDec1520:45:49+01002011,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1079094"">Show</a>","<ahref=""/cell/map/1079094"">Map</a>"
21.557849,39.175724,420,3,2311,6835768,6000,"<ahref=""/mesure/map/1079042"">1</a>",SatNov2615:42:53+01002011,MonNov2812:16:41+01002011,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1079042"">Show</a>","<ahref=""/cell/map/1079042"">Map</a>"
21.557562,39.174748,420,3,2311,6835770,0,"<ahref=""/mesure/map/1079037"">6</a>",SatNov2615:41:48+01002011,TueNov2912:13:30+01002011,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1079037"">Show</a>","<ahref=""/cell/map/1079037"">Map</a>"
21.600397,39.165858,420,3,2135,6641259,6000,"<ahref=""/mesure/map/1060854"">6</a>",SunNov2022:16:15+01002011,ThuDec0809:52:02+01002011,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1060854"">Show</a>","<ahref=""/cell/map/1060854"">Map</a>"
27.62599817,38.56967287,420,4,30105,56121,6000,"<ahref=""/mesure/map/1039620"">12</a>",FriNov1100:42:05+01002011,FriFeb0317:14:53+01002012,FALSE,SaudiArabia,none,"<ahref=""/cell/show/1039620"">Show</a>","<ahref=""/cell/map/1039620"">Map</a>"
21.424138,39.784667,420,3,2302,6708857,6000,"<ahref=""/mesure/map/1036694"">2</a>",WedNov0919:11:34+01002011,WedNov0919:12:08+01002011,TRUE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/1036694"">Show</a>","<ahref=""/cell/map/1036694"">Map</a>"
24.69481876,46.79767712,420,1,3621,7321093,6000,"<ahref=""/mesure/map/1008649"">3</a>",FriOct2807:18:31+02002011,SatDec2421:10:54+01002011,FALSE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/1008649"">Show</a>","<ahref=""/cell/map/1008649"">Map</a>"
24.69480799,46.79772708,420,1,3621,7278707,6000,"<ahref=""/mesure/map/1008647"">5</a>",FriOct2807:16:17+02002011,SatDec2421:09:34+01002011,FALSE,SaudiArabia,SaudiTelecom/AlJawal,"<ahref=""/cell/show/1008647"">Show</a>","<ahref=""/cell/map/1008647"">Map</a>"
24.649781,46.669363,420,3,1325,940353,6000,"<ahref=""/mesure/map/986550"">1</a>",WedOct1922:51:08+02002011,WedOct1922:51:41+02002011,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/986550"">Show</a>","<ahref=""/cell/map/986550"">Map</a>"
24.649779,46.669315,420,3,1325,930353,6000,"<ahref=""/mesure/map/986540"">1</a>",WedOct1922:47:58+02002011,SatNov2602:43:21+01002011,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/986540"">Show</a>","<ahref=""/cell/map/986540"">Map</a>"
18.342332,41.995878,420,3,7025,30412,6000,"<ahref=""/mesure/map/951941"">1</a>",FriOct0721:09:04+02002011,FriOct0721:10:20+02002011,FALSE,SaudiArabia,EtihadEtisalat/Mobiliy,"<ahref=""/cell/show/951941"">Show</a>","<ahref=""/cell/map/951941"">Map</a>"
24.72316813,46.66626938,420,4,0,0,6000,"<ahref=""/mesure/map/943971"">1</a>",TueOct0413:42:28+02002011,WedOct0508:12:25+02002011,FALSE,SaudiArabia,none,"<ahref=""/cell/show/943971"">Show</a>","<ahref=""/cell/map/943971"">Map</a>"
24.70992523,46.62685658,420,4,21001,6652797,0,"<ahref=""/mesure/map/926605"">1</a>",MonSep2611:56:25+02002011,MonSep2611:56:25+02002011,TRUE,SaudiArabia,none,"<ahref=""/cell/show/926605"">Show</a>","<ahref=""/cell/map/926605"">Map</a>"
24.7244406,46.66565222,420,4,21001,6651892,0,"<ahref=""/mesure/map/926603"">1</a>",MonSep2611:54:26+02002011,MonSep2611:54:26+02002011,TRUE,SaudiArabia,none,"<ahref=""/cell/show/926603"">Show</a>","<ahref=""/cell/map/926603"">Map</a>"
24.73012835,46.6627525,420,4,21001,6655031,0,"<ahref=""/mesure/map/926602"">1</a>",MonSep2611:54:22+02002011,MonSep2611:54:22+02002011,TRUE,SaudiArabia,none,"<ahref=""/cell/show/926602"">Show</a>","<ahref=""/cell/map/926602"">Map</a>"
24.73443262,46.6604142,420,4,21001,6655032,0,"<ahref=""/mesure/map/926601"">1</a>",MonSep2611:54:20+02002011,MonSep2611:54:20+02002011,TRUE,SaudiArabia,none,"<ahref=""/cell/show/926601"">Show</a>","<ahref=""/cell/map/926601"">Map</a>"
