Id,ProjectName,Country,Town,Latitude,Longitude,Scope,Technology,Capacitym3d,Feedwater,Offtaker,Units,Contractdate,Onlinedate,Status,Rawwatersalinity,Powerconsumption,Contractscope,Dealstructure,EstimatedEPCcost,Currency,EPCContractordesal1,EPCContractordesal2,EPCContractordesal3,EPCContractordesal4,EPCContractordesal5
53895,Residential Compound,Saudi Arabia,Al Khobar,26.2794444,50.2083333,Desalination Plant,RO (Reverse osmosis),100,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),1,2010,2010,Construction,,,,,,,Veolia Water Solutions & Technologies,,,,
53897,Residential Palace,Saudi Arabia,Rakah,21.9797222,39.9875,Desalination Plant,RO (Reverse osmosis),100,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),1,2010,2010,Construction,,,,,,,Veolia Water Solutions & Technologies,,,,
53428,Rosewood Corniche Hotel RO,Saudi Arabia,Jeddah,21.5169444,39.2191667,Desalination Plant,RO (Reverse osmosis),1000,Pure water or tap water (TDS <500ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2010,2010,Construction,,,,,,,Berfefeld,,,,
53728,SAAF Hofuf Site,Saudi Arabia,Hofuf,25.3783333,49.5866667,Desalination Plant,RO (Reverse osmosis),500,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),1,2010,2010,Construction,,,,,,,Veolia,,,,
54369,Saudi Arabia,Saudi Arabia,Saudi Arabia,24.046464,44.67480496,Desalination Plant,RO (Reverse osmosis),1000,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),,2011,2012,Construction,,,,,,,,,,,
54334,Saudi Arabia,Saudi Arabia,,,,Desalination Plant,RO (Reverse osmosis),5275,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2011,2011,Construction,,,,,,,Wetico,,,,
53994,Saudi Arabia,Saudi Arabia,Saudi Arabia,24.046464,44.67480496,Desalination Plant,RO (Reverse osmosis),2500,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),,2011,2012,Construction,,,,,,,,,,,
53735,Saudi Marble & Granite Factory Company,Saudi Arabia,Riyadh,24.6408333,46.7727778,Desalination Plant,RO (Reverse osmosis),500,Brackish water or inland water (TDS 3000ppm - <20000ppm),,1,2010,2011,Construction,,,,,,,AES Arabia Ltd.,,,,
53422,Sea Port Project,Saudi Arabia,Ras Azzour,28.36179751,48.47325897,Desalination Plant,RO (Reverse osmosis),1000,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),2,2010,2011,Construction,,,,,,,Veolia Water Solutions & Technologies,,,,
53557,Shaqra,Saudi Arabia,Riyadh,24.6408333,46.7727778,Desalination Plant,RO (Reverse osmosis),15000,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),4,2010,2012,Construction,,,,,,,GETCO,,,,
53586,Sweet Water Factory,Saudi Arabia,Dammam,26.4258333,50.1141667,Desalination Plant,RO (Reverse osmosis),1500,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),3,2010,2011,Construction,,,,,,,AES Arabia Ltd.,,,,
54303,Tabuk,Saudi Arabia,Tabuk,28.3833333,36.5833333,Desalination Plant,RO (Reverse osmosis),6000,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),,2011,2012,Construction,,,,,,,,,,,
53822,Water Factory,Saudi Arabia,Muzamiyah,24.16680209,44.41113308,Desalination Plant,RO (Reverse osmosis),300,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),1,2010,2010,Construction,,,,,,,Veolia Water Solutions & Technologies,,,,
53604,Water Factory,Saudi Arabia,Al Kharj,24.1483333,47.305,Desalination Plant,RO (Reverse osmosis),750,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),1,2010,2010,Construction,,,,,,,Veolia,,,,
51987,Yanbu (Marafiq) 2,Saudi Arabia,Yanbu,24.0852778,38.0486111,Power/Desal Plant,MED (Multi-effect distillation),60000,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,2011,2014,Construction,,,EPC,,,,Hanwha Engineering & Construction,,,,
53918,Yanbu (Marafiq) MED,Saudi Arabia,Yanbu,24.0852778,38.0486111,Desalination Plant,MED (Multi-effect distillation),54552,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),2,2011,2012,Construction,,,EPC,,124000000,USD,Doosan Heavy Industries & Construction Co., Ltd.,,,,
